card_country_code,success_card_country_code
1,0.195
2,0.245
3,0.234
4,0.118
5,0.155
6,0.211
7,0.111
8,0.164
9,0.062
10,0.234
11,0.033
13,0.0
20,0.275
22,1.0
30,0.312
31,0.033
33,0.381
34,0.0
35,0.0
37,0.32
41,0.0
42,0.0
45,0.223
46,0.312
50,0.0
51,0.0
53,0.09
55,0.188
56,0.0
58,0.444
62,0.262
63,0.353
66,0.375
68,0.545
72,0.245
77,0.0
78,0.35
79,0.143
81,0.667
82,0.667
84,0.303
85,0.474
86,0.214
87,0.201
91,0.0
92,0.287
94,0.0
95,0.136
97,0.056
100,0.225
102,0.0
105,0.015
107,0.167
109,0.138
112,0.25
114,0.483
116,0.583
123,0.5
124,0.0
126,0.0
128,0.143
131,1.0
133,0.0
140,0.323
141,0.25
145,0.528
146,0.333
147,0.0
148,0.254
152,0.212
154,0.302
155,0.313
156,0.4
159,0.0
160,0.364
161,0.2
162,0.223
166,0.0
179,0.615
180,0.0
188,0.0
195,0.166
196,0.0
197,0.288
201,0.0
202,0.444
203,0.109
207,0.3
208,0.0
209,0.204
210,0.17
211,0.075
212,0.449
213,0.222
214,0.248
217,0.429
219,0.154
222,0.091
224,0.217
225,0.365
226,0.077
238,0.214
241,0.083
243,0.201
247,0.111
248,0.25
251,0.667
255,0.0
257,0.333
261,0.476
268,0.5
269,0.286
270,0.0
280,0.0
